# Vanoni - Tariche Bois Banal - ACPS - ITRDB CHE445
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41257
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41257.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che445-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che445.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che445.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Vanoni - Tariche Bois Banal - ACPS - ITRDB CHE445
#--------------------
# Investigators
#   Investigators: Vanoni, Marco; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species
#   Journal_Name: Forest Ecology and Management
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.foreco.2016.10.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss National Science Foundation
#   Grant: 140968
#--------------------
# Site_Information
#   Site_Name: Tariche Bois Banal
#   Location: Switzerland
#   Northernmost_Latitude: 47.336666677
#   Southernmost_Latitude: 47.336666677
#   Easternmost_Longitude: 7.150277785
#   Westernmost_Longitude: 7.150277785
#   Elevation_m: 560
#--------------------
# Data_Collection
#   Collection_Name: CHE445
#   First_Year: 1889
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Acer pseudoplatanus L.
#   Common_Name: sycamore maple
#   Tree_Species_Code: ACPS
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 72170_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72170; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72172_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72172; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72173_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72173; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72174_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72174; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72175_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72175; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72176_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72176; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72177_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72177; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72178_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72178; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72179_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72179; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72180_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72180; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 72181_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 72181; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	72170_raw	72171_raw	72172_raw	72173_raw	72174_raw	72175_raw	72176_raw	72177_raw	72178_raw	72179_raw	72180_raw	72181_raw
1889	3.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	2.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	2.4	0.43	NA	NA	NA	0.24	NA	NA	NA	NA	NA	NA
1892	0.13	1.7	0.4	NA	NA	0.83	NA	NA	NA	NA	NA	NA
1893	1.69	2.88	0.98	NA	2.57	1.79	NA	NA	0.36	3.72	4.34	NA
1894	1.28	1.58	0.93	NA	4.04	1.03	NA	NA	1.76	1.47	4.34	NA
1895	1.33	2.55	1.1	2.02	2.21	0.79	NA	NA	2.1	1.95	3.31	NA
1896	2	2.8	0.96	1.64	3.12	0.82	NA	NA	2.09	2.12	2.77	NA
1897	2.1	2.25	0.69	1.7	2.89	1.03	NA	2.31	2.67	1.89	2.95	NA
1898	2.05	1.43	0.19	1.46	1.73	0.2	NA	2.39	2.1	1.97	1.89	NA
1899	2.11	1.6	0.5	1.42	2.07	0.54	NA	2.03	2.52	2.04	2.22	3.17
1900	2.24	1.34	1.37	1.59	2.17	1.29	4	2.07	2.08	1.76	1.87	2.91
1901	0.73	0.49	1.14	1.06	1.56	1.18	3.25	1.62	0.31	0.56	2.19	2.29
1902	0.53	0.01	0.69	0.68	0.85	0.49	2.28	0.54	0.84	0.34	1.22	0.84
1903	2.55	0.9	1.17	1.21	1.63	1.03	3	1.35	1.74	1.61	1.84	1.87
1904	1.72	0.94	1.29	0.98	1.2	1.24	1.67	1.08	1.89	1.42	1.43	1.44
1905	1.46	1.06	1.35	0.98	0.73	0.93	2.6	1.12	1.51	1.55	1.11	1.93
1906	1.95	1.1	1.07	1.06	0.84	0.94	1.42	1.08	1.21	0.88	0.85	1.75
1907	1.87	1.2	1.39	1.11	1.47	0.71	1.8	1.73	1.7	1.57	1.51	1.97
1908	1.83	0.59	1.28	1.34	1.14	0.8	1.63	2.51	1.25	1.37	1.47	2.04
1909	0.78	0.7	0.96	0.82	0.62	0.56	0.97	1.51	1.46	0.78	0.86	1.9
1910	1.85	1.1	0.93	1.36	0.23	1.05	1.26	1.63	1.64	0.76	0.92	1.71
1911	1.06	0.65	0.47	1.1	0.58	0.67	0.9	0.87	0.93	0.64	0.69	1.32
1912	2.07	1.55	0.73	1.99	1.29	0.8	2.13	1.05	1.2	1.68	1.23	2.6
1913	2.38	1.43	1.47	1.78	1.56	1.6	2.18	1.94	1.78	1.85	1.46	2.61
1914	1.98	1.84	1.4	2.34	1.33	1.29	2.16	2.24	1.8	1.66	1.62	2.82
1915	2.27	0.97	0.97	1.98	1.58	0.92	2.15	1.65	1.15	1.49	2.16	3.08
1916	2.23	1.44	1.13	2.17	1.83	1.36	1.93	2.1	2.03	1.68	2.14	2.76
1917	2.45	1.42	0.97	2.29	1.94	1.48	1.92	2	2.52	2.18	2.32	3.18
1918	1.67	0.52	0.58	1.37	1.27	1.05	1.24	1.32	1.57	1.15	2	1.95
1919	1.25	0.41	0.5	1.67	1.34	0.34	1.43	1.44	1.42	1.31	1.86	1.65
1920	1.69	1.48	1.06	1.66	1.54	0.32	1.69	1.72	1.49	1.75	2.28	1.86
1921	0.73	0.72	0.78	1.3	0.88	0.83	0.82	1.15	1	0.93	1.56	0.78
1922	0.65	0.58	0.4	0.88	0.65	0.85	1.08	0.3	0.28	0.47	1.36	0.5
1923	0.36	0.88	0.93	1.55	0.82	0.58	0.65	1.02	0.91	0.98	1.45	0.98
1924	0.74	1.25	1.31	1.71	1.31	0.59	1.43	1.45	1.19	1.37	1.78	1.69
1925	1.53	0.5	0.89	2.05	0.88	0.4	1.3	1.18	0.73	0.61	1.68	1.85
1926	1.95	0.89	0.76	0.92	1.15	0.23	0.84	1.16	0.76	0.57	1.31	1.11
1927	1.15	1.12	0.41	0.4	1.26	1.15	0.92	1.14	0.65	0.61	1.4	1.29
1928	0.67	0.54	0.26	0.24	1.06	0.75	0.59	0.74	0.49	0.4	1.05	0.76
1929	0.62	0.97	1.33	1.46	1.64	0.95	1.38	1.34	1.08	1.41	1.59	0.96
1930	0.88	0.81	1.38	1.4	2.15	0.77	1.07	1.02	0.71	0.66	1.27	1.39
1931	0.95	1.15	1.67	2.51	2.38	1.31	1.5	2.21	2.38	1.61	1.95	2.21
1932	1.86	1.39	1.8	2.04	2.03	1.11	1.29	2.03	1.84	1.55	2.02	1.84
1933	1.39	0.7	1.25	1.53	1.43	0.01	1.07	1.02	1.26	0.76	1.52	1.49
1934	1.04	0.11	0.27	0.6	0.45	0.01	0.91	0.32	0.31	0.12	1.23	0.48
1935	1.06	0.54	0.61	1.08	1.19	0.23	0.55	0.9	0.73	0.56	1.12	0.91
1936	0.54	1.08	1.08	1.8	1.78	0.67	0.81	1.42	1.32	1.01	1.58	1.81
1937	1.4	0.79	1.4	1.79	1.94	0.51	1.11	1.5	1.31	0.85	1.64	1.79
1938	1.65	0.63	1.17	1.59	1.8	0.33	0.71	1.65	1.14	0.64	1.35	1.48
1939	1.51	1.08	1.15	1.51	2.04	0.6	1.13	1.46	1.37	0.86	1.31	1.71
1940	1.43	0.62	1.38	1.74	1.68	1.02	1.13	1.64	1.4	0.78	1.12	1.28
1941	1.52	0.63	0.73	1.19	1.33	0.54	0.68	1.14	1.08	0.46	1.26	0.73
1942	1.09	0.83	1.52	1.36	1.65	1.49	1.54	1.85	1.67	0.74	0.95	1.36
1943	0.69	0.71	1.09	1.19	1.49	1.08	1.37	1.63	1.31	0.83	0.88	0.92
1944	0.91	1.11	1	1.67	1.85	1.57	1.42	2.14	1.64	1.2	1.2	1.38
