# Ferrari - Motta Ciürela, Val Bregaglia - ABAL - ITRDB CHE469
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41281
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41281.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che469-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che469.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che469.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Motta Ciürela, Val Bregaglia - ABAL - ITRDB CHE469
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1316 - 1348 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Motta Ciürela, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.356338719
#   Southernmost_Latitude: 46.356338719
#   Easternmost_Longitude: 9.650096645
#   Westernmost_Longitude: 9.650096645
#   Elevation_m: 1332
#--------------------
# Data_Collection
#   Collection_Name: CHE469
#   First_Year: 1821
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MC02TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC02TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC03TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC03TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC04TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC04TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC05TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC05TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC06TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC06TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC07TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC07TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC08TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC08TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC10TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC10TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC12TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC12TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC14TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC14TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC16TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC16TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC17TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC17TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC18TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC18TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MC21TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MC21TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MC02TA_raw	MC03TA_raw	MC04TA_raw	MC05TA_raw	MC06TA_raw	MC07TA_raw	MC08TA_raw	MC10TA_raw	MC12TA_raw	MC14TA_raw	MC16TA_raw	MC17TA_raw	MC18TA_raw	MC21TA_raw
1821	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	0.92	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	1.12	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	1.1	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	0.87	0.91	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA
1827	NA	0.65	0.64	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA
1828	NA	0.84	0.73	1.91	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA
1829	NA	0.72	0.74	2.25	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA
1830	NA	0.49	0.78	2.2	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA
1831	NA	0.56	0.77	2.43	NA	NA	NA	NA	0.66	0.71	NA	NA	NA	NA
1832	NA	0.65	0.79	2.71	NA	NA	NA	NA	0.65	0.77	NA	NA	NA	NA
1833	NA	0.59	0.7	2.42	NA	NA	NA	NA	0.73	0.72	NA	NA	NA	NA
1834	NA	0.66	0.94	2.71	NA	NA	NA	NA	0.82	1.06	NA	NA	NA	NA
1835	NA	0.7	0.93	2.24	NA	NA	NA	NA	0.68	0.9	NA	0.66	NA	NA
1836	NA	0.88	0.97	1.47	NA	NA	NA	NA	0.77	0.89	NA	0.44	NA	NA
1837	NA	0.57	0.66	1.26	NA	NA	NA	NA	0.68	0.96	1.5	0.39	NA	NA
1838	NA	0.66	0.78	1.35	NA	NA	NA	NA	0.64	0.98	1.32	0.67	NA	NA
1839	NA	0.65	0.68	1.44	NA	NA	NA	NA	0.55	0.98	1.27	0.62	NA	NA
1840	NA	0.5	0.54	1.12	NA	NA	NA	NA	0.52	1.04	1.15	0.46	NA	NA
1841	NA	0.58	0.74	0.98	NA	NA	NA	NA	0.6	1.04	0.97	0.95	NA	NA
1842	NA	0.7	0.68	0.87	NA	NA	NA	NA	0.56	1.16	0.89	0.82	NA	NA
1843	NA	0.49	0.91	0.82	NA	NA	NA	NA	0.61	1.15	0.87	0.74	NA	NA
1844	NA	0.49	0.78	0.75	NA	NA	NA	NA	0.58	1.3	1.06	0.6	NA	NA
1845	NA	0.31	0.79	0.65	NA	NA	NA	NA	0.53	1.08	1.05	0.44	NA	NA
1846	NA	0.53	1.01	0.9	NA	NA	NA	NA	0.68	1.25	1.17	0.65	NA	NA
1847	NA	0.58	1.3	0.71	NA	NA	NA	NA	0.5	0.99	0.86	0.49	NA	NA
1848	NA	0.59	1.43	0.89	NA	NA	NA	NA	0.76	1.14	0.95	0.64	NA	NA
1849	NA	0.52	1.18	0.93	NA	NA	NA	NA	0.77	0.91	0.98	0.5	NA	NA
1850	NA	0.57	1.06	0.95	NA	NA	NA	NA	0.9	0.87	0.88	0.51	NA	NA
1851	NA	0.64	1.11	1.01	NA	NA	NA	NA	0.76	0.95	0.72	0.2	NA	NA
1852	NA	0.67	1.01	0.82	NA	NA	NA	NA	0.87	1.09	0.64	0.43	NA	NA
1853	NA	0.61	0.96	1.01	NA	NA	NA	NA	0.86	0.95	0.73	0.42	NA	NA
1854	NA	0.4	0.83	0.82	NA	NA	NA	NA	0.74	0.66	0.72	0.24	NA	1.12
1855	NA	0.38	0.87	0.92	NA	NA	NA	NA	0.76	0.76	0.62	0.11	NA	1.41
1856	NA	0.47	0.98	0.95	NA	NA	NA	NA	0.98	0.87	0.64	0.14	NA	1.61
1857	NA	0.62	1.06	1.01	NA	NA	NA	NA	0.94	0.71	0.71	0.24	NA	1.76
1858	1.26	0.65	0.97	0.9	NA	NA	NA	NA	0.77	0.79	0.59	0.2	NA	1.34
1859	1.2	0.95	1.34	1.08	NA	NA	NA	NA	1.15	1.02	0.61	0.41	NA	1.65
1860	0.77	0.58	1.07	0.93	NA	NA	NA	NA	0.79	0.9	0.45	0.32	NA	1.1
1861	1.02	0.59	1.13	0.97	NA	NA	NA	NA	0.9	0.99	0.66	0.3	NA	1.57
1862	0.6	0.46	1.08	0.94	NA	NA	NA	NA	0.58	0.88	0.67	0.14	NA	1.16
1863	0.9	0.55	1.57	1.04	NA	NA	NA	NA	1.01	0.85	0.8	0.22	NA	1.44
1864	1.24	0.93	1.59	1.16	NA	NA	NA	NA	1.23	1.06	0.72	0.21	NA	1.36
1865	1	0.71	1.08	0.8	NA	NA	NA	NA	0.81	0.84	0.64	0.13	NA	0.79
1866	1.35	0.9	1.44	0.96	NA	NA	NA	NA	0.88	1.06	0.81	0.3	NA	1
1867	1.04	0.81	1.19	1	NA	NA	NA	NA	0.8	0.83	0.81	0.3	NA	1.09
1868	1.08	0.91	0.95	0.9	NA	NA	NA	NA	0.84	0.8	0.82	0.25	NA	1.11
1869	1.14	0.79	0.92	0.79	NA	NA	NA	NA	0.86	0.74	0.69	0.24	NA	1.27
1870	0.89	0.73	0.76	0.61	NA	NA	NA	NA	0.56	0.48	0.6	0.14	NA	0.81
1871	1.06	0.8	0.97	1	NA	NA	NA	NA	0.73	0.7	0.91	0.27	NA	1.27
1872	0.78	0.69	0.98	0.9	NA	NA	NA	NA	0.8	0.73	0.78	0.17	NA	0.92
1873	0.84	0.76	1	1.18	NA	NA	NA	NA	0.88	0.92	0.98	0.34	NA	1.16
1874	0.56	0.6	0.66	1.02	NA	NA	NA	NA	0.45	0.73	0.76	0.21	NA	0.86
1875	0.81	0.58	0.53	0.88	NA	NA	NA	NA	0.43	0.5	0.71	0.19	NA	0.76
1876	0.95	0.62	0.62	1	NA	NA	NA	NA	0.52	0.64	0.75	0.26	NA	0.89
1877	0.7	0.52	0.54	0.89	NA	NA	NA	NA	0.49	0.44	0.62	0.24	NA	0.79
1878	1.03	0.67	0.75	1.06	NA	NA	NA	NA	0.61	0.56	0.81	0.28	NA	1.05
1879	1.48	0.51	0.77	0.96	NA	NA	NA	NA	0.48	0.42	0.67	0.22	NA	0.93
