# Weber - Bat - FASY - ITRDB CHE566
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41820
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41820.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che566-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che566.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che566.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - Bat - FASY - ITRDB CHE566
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders,Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Bat
#   Location: Switzerland
#   Northernmost_Latitude: 47.39065
#   Southernmost_Latitude: 47.39065
#   Easternmost_Longitude: 7.45293
#   Westernmost_Longitude: 7.45293
#   Elevation_m: 700
#--------------------
# Data_Collection
#   Collection_Name: CHE566
#   First_Year: 1891
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAT_Bu08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT_Bu04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT Bu04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAT Bu08_raw	BAT Bu03_raw	BAT Bu07_raw	BAT Bu06_raw	BAT Bu11_raw	BAT Bu01_raw	BAT Bu02_raw	BAT Bu05_raw	BAT Bu04_raw
1891	NA	NA	NA	NA	NA	NA	NA	NA	0.71
1892	NA	NA	NA	NA	NA	NA	NA	NA	0.81
1893	NA	NA	NA	NA	NA	NA	NA	NA	0.3
1894	NA	NA	NA	NA	NA	NA	NA	NA	0.99
1895	NA	NA	NA	NA	NA	NA	3.09	2	0.97
1896	NA	NA	NA	NA	NA	1.9	4.57	2.86	1.73
1897	NA	NA	NA	NA	NA	2.06	4.05	3.72	2.96
1898	NA	NA	NA	NA	1.95	2.14	2.84	2.51	2.19
1899	NA	NA	NA	2.08	1.81	1.64	2.94	2.67	1.43
1900	NA	NA	NA	2.16	1.72	1.7	2.73	1.74	1.11
1901	NA	NA	NA	2.72	1.82	2.4	2.32	1.45	1.09
1902	NA	NA	NA	2.16	1.36	2.16	2.32	1.1	0.85
1903	NA	NA	NA	3.24	1.9	2.96	2.78	1.28	1.36
1904	NA	NA	1.26	2.03	1.31	2.3	2.38	1.05	1.61
1905	NA	NA	1.83	2.36	1.61	2.26	3.65	1.36	1.65
1906	NA	NA	1.68	1.99	1.52	2.02	2.74	1.28	1.78
1907	NA	NA	2.13	1.56	1.43	1.72	2.52	1.34	1.86
1908	NA	NA	2.26	1.9	1.66	1.74	3.07	1.35	1.65
1909	NA	NA	1.77	2.03	1.43	1.49	3.57	1.03	1.21
1910	NA	NA	2.34	3.91	1.54	2.97	3.72	1.38	2.01
1911	NA	NA	1.79	2.91	1.37	2.1	2.5	1.59	1.47
1912	NA	NA	1.76	2.95	1.8	1.89	2.41	1.98	1.8
1913	NA	NA	1.8	3.56	1.51	1.45	1.84	1.41	1.49
1914	NA	3.6	1.55	4.47	1.65	1.45	1.93	1.27	1.48
1915	NA	2.75	1.49	3.2	1.76	1.56	1.88	0.89	1.17
1916	2.86	3.08	1.95	3.39	2.44	1.81	2.72	1.34	1.26
1917	2.39	2.55	1.8	3.07	2.48	2.42	3.41	1.56	1.02
1918	2.19	2.09	1.81	2.49	2.41	2.08	3.59	1.57	1.05
1919	2.22	1.73	1.61	1.91	1.84	1.64	2.86	1.27	1.17
1920	2.78	2.04	1.79	2.42	2.14	1.88	3.15	1.33	1.48
1921	2.11	1.64	1.73	2.62	2.1	1.64	2.45	1.17	1.19
1922	2.2	2.45	1.85	2.73	1.84	1.48	2.69	1.25	1.23
1923	2.05	2.02	1.9	2.01	1.79	1.65	2.68	1.57	1.2
1924	2.07	2.28	1.95	2.91	1.56	1.66	2.07	1.7	1.46
1925	2.06	2.57	2.11	3.43	1.6	1.68	2.11	1.78	1.51
1926	1.95	2.75	1.45	3.69	1.76	1.66	1.79	1.6	1.41
1927	2.5	3.09	1.99	3.18	1.65	1.51	1.89	1.65	1.34
1928	2.35	1.9	1.52	2.06	1.56	1.4	2.19	0.98	1.03
1929	2.53	2.25	1.84	2.69	1.91	1.71	2.93	1.07	1.25
1930	2.6	2.13	1.79	2.75	1.93	1.67	3.54	1.18	1.34
1931	2.87	2.54	1.89	4.39	1.91	1.97	3.19	1.27	1.3
1932	2.4	2.62	1.65	4.03	1.8	1.92	2.32	1.01	1.28
1933	2.1	2.19	1.53	2.9	1.9	2.09	1.78	1.42	1.35
1934	1.7	1.24	1.17	2.21	1.32	1.45	1.42	1.02	1.33
1935	1.16	1.08	1.24	2	1.02	1.47	1.72	1.25	1.09
1936	1.25	1.17	1.45	2.4	1.01	1.49	1.25	1.39	1.29
1937	1.28	0.87	1.38	2.78	0.9	1.71	1.39	1.11	1.21
1938	1.05	0.77	1.22	2.67	1.44	1.84	1.67	1.33	1.52
1939	1.27	0.73	1.11	3.2	1.55	1.7	2.18	1.08	1.11
1940	1.81	0.66	1.02	1.82	1.41	1.42	1.67	0.93	1.01
1941	1.91	0.77	1.29	1.84	1.63	1.72	2.07	0.74	1.14
1942	1.92	0.98	1.24	2.25	1.56	1.68	1.93	0.62	1.25
1943	2.57	1.06	1.63	2.32	1.82	1.68	1.67	0.58	1.12
1944	3.12	1.56	1.77	2.05	1.41	1.61	1.36	0.84	1.22
1945	2.25	1.53	2.13	1.75	1.56	1.32	1.04	0.78	1.25
1946	1.71	1.57	1.41	1.98	1.77	1.69	1.23	1.5	1.32
1947	1.25	1.33	1.71	1.68	1.6	2	1.04	1.48	0.99
1948	1.85	0.76	2.96	1.32	1.28	1.18	0.57	1.29	0.84
1949	2.2	1.38	2.33	1.99	1.56	2.1	1.52	1.63	0.86
1950	1.92	0.69	2.57	1.56	1.43	1.59	1.21	1.23	0.69
1951	3.01	1.75	3.54	3.7	2.07	2.28	1.75	2.18	0.99
1952	2.51	1.19	2.32	2.34	1.63	1.72	1.72	1.15	0.77
1953	3.46	0.93	3.35	2.39	1.23	1.06	2.06	1.41	1.24
1954	1.96	1.12	2.59	2.03	1.34	1.17	1.71	1.4	1.02
1955	2.75	1.67	3.44	4.45	2.27	2.19	2.36	1.84	1.28
1956	1.9	1.91	2.4	3.42	1.64	1.67	1.81	1.68	1.09
1957	1.93	1.96	2.73	3.35	1.43	2.03	1.94	1.4	1.08
1958	2.31	2.81	2.82	2.74	1.8	2.26	2.14	1.55	1.33
1959	1.77	2.29	2.56	2.56	1.52	1.92	1.42	1.27	1.14
1960	1.88	1.74	2	2.28	1.29	1.88	1.15	1.31	1.39
1961	1.75	2.79	2.22	2.4	1.48	2.33	1.45	2.04	1.58
1962	1.35	1.54	1.86	1.68	1.62	1.75	1.9	1.48	1.16
1963	1.91	1.73	1.93	2.7	1.77	1.92	2	1.88	1.01
1964	1.85	1.43	2.1	3.24	1.64	1.88	2.05	1.52	0.83
1965	2.23	1.98	2.82	3.93	1.94	2.14	2.37	2.42	0.83
1966	2.25	2.38	2.48	3.35	1.81	1.36	1.93	1.93	0.96
