# Lévesque - Balgach - PCAB - ITRDB CHE489
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41743
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41743.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che489-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che489.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che489.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Balgach - PCAB - ITRDB CHE489
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Balgach
#   Location: Switzerland
#   Northernmost_Latitude: 47.4125
#   Southernmost_Latitude: 47.4125
#   Easternmost_Longitude: 9.606944444
#   Westernmost_Longitude: 9.606944444
#   Elevation_m: 600
#--------------------
# Data_Collection
#   Collection_Name: CHE489
#   First_Year: 1884
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAP01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAP15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAP15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAP01_raw	BAP02_raw	BAP03_raw	BAP04_raw	BAP05_raw	BAP06_raw	BAP07_raw	BAP08_raw	BAP10_raw	BAP11_raw	BAP13_raw	BAP14_raw	BAP15_raw
1884	NA	NA	NA	NA	NA	NA	NA	NA	4.13	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	2.88	NA	NA	NA	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	2.34	NA	NA	NA	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	4.19	NA	NA	NA	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	4.86	NA	NA	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	4.79	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	NA	NA	NA	5.04	5.12	NA	NA	NA
1891	NA	NA	NA	NA	NA	NA	NA	NA	4.52	5.18	NA	NA	NA
1892	NA	NA	NA	NA	NA	NA	NA	NA	4.35	4.98	NA	NA	NA
1893	NA	NA	3.34	2.76	NA	NA	NA	NA	3.73	4.6	NA	NA	NA
1894	NA	NA	3.92	3.27	NA	NA	NA	NA	3.59	4.91	NA	NA	NA
1895	NA	NA	4.82	3.85	NA	1.84	NA	NA	4.04	6.52	NA	NA	NA
1896	NA	NA	3.39	2.91	NA	1.47	NA	NA	3.9	5.41	NA	NA	NA
1897	NA	NA	4.76	3.48	NA	1.65	NA	NA	4.21	5.4	NA	NA	NA
1898	NA	NA	3.79	3.7	NA	1.87	NA	NA	4.21	5.7	NA	NA	NA
1899	NA	NA	2.12	2.44	NA	1.28	NA	NA	2.76	4.51	NA	NA	NA
1900	NA	NA	1.68	2.26	NA	1.28	NA	NA	2.2	4.02	NA	NA	NA
1901	NA	NA	2.38	2.28	NA	1.53	NA	NA	3.6	5.08	NA	NA	NA
1902	NA	NA	3.94	2.01	NA	1.7	NA	NA	3.43	5.31	NA	NA	NA
1903	NA	NA	3.1	2.35	NA	1.69	NA	NA	3.62	4.76	NA	NA	NA
1904	NA	NA	4.16	2.93	NA	1.57	NA	NA	3.55	3.56	NA	NA	NA
1905	NA	NA	3.79	3.73	NA	2.69	NA	NA	3.17	3.69	NA	NA	NA
1906	NA	NA	5.05	6.35	NA	3.64	NA	1.71	4.83	4.19	NA	NA	NA
1907	NA	NA	4.99	5.34	NA	3.04	NA	2.55	4.57	4.55	NA	4.42	NA
1908	NA	NA	4.76	3.56	NA	3.24	NA	3.27	4.27	4.87	NA	4.26	NA
1909	NA	NA	4.75	3.97	NA	3.26	NA	3.19	4.14	4.23	NA	3.67	NA
1910	NA	NA	5.37	3.92	NA	3.51	NA	3.93	4.13	4.85	NA	3.08	NA
1911	NA	NA	4.4	3.19	NA	3.47	NA	3.55	2.89	3.29	1.17	2.62	NA
1912	NA	4.93	3.38	3.77	NA	3.54	NA	4.55	2.59	3.99	8.52	2.32	NA
1913	NA	3.08	3.32	4.47	NA	3.24	NA	3.49	3.01	3.39	8.96	2.28	NA
1914	NA	4.45	4.59	4.35	NA	3.09	NA	4.44	3.3	4.51	8.06	1.8	NA
1915	NA	2.1	3.67	3.92	NA	3.18	NA	4.67	3.78	4.59	8.46	2.57	NA
1916	NA	2.48	4.34	3.77	NA	3.45	NA	4.27	3.73	4.21	8.98	2.43	NA
1917	NA	2.24	3.33	3.33	NA	3.04	NA	5.06	3.18	3.43	8.47	1.98	NA
1918	NA	2.71	3.16	3.19	NA	3.62	3.89	5.59	3.47	3.52	6.17	2.2	NA
1919	NA	3.23	3.98	3.49	NA	2.74	5.82	5.12	3.72	3.12	6.71	1.97	NA
1920	NA	3.47	5.23	4.48	NA	2.58	5.57	5.86	2.45	3.12	7.57	1.9	NA
1921	NA	2.54	3.64	3.84	NA	2.79	3.75	4.94	2.11	2.44	6.5	2.59	NA
1922	NA	2.47	3.21	4.01	NA	2.53	3.97	4.74	3.06	3.07	5.17	1.92	NA
1923	NA	3.26	3.34	4.04	NA	2.59	3.91	4.72	4.74	2.86	6.36	2.6	NA
1924	NA	2.72	4.35	4.05	NA	3.45	4.74	5.96	3.93	2.85	6.18	2.36	NA
1925	4.13	2.12	4.34	3.99	NA	2.77	4.79	5.31	3.43	2.56	6.15	2.33	NA
1926	4.53	1.93	5.29	3.56	NA	3.22	5.1	5.89	3.81	2.93	6.98	2.76	NA
1927	5.31	2.48	5.57	2.74	NA	3.3	5.05	5.86	3.31	2.52	5.74	2.2	NA
1928	4.31	2.24	4.35	2.36	NA	2.97	4.81	4.83	3.02	2.58	6.76	2.34	NA
1929	3.61	1.63	2.84	2.5	NA	2.25	5.44	4.33	2.28	2.85	5.33	2.35	NA
1930	4.28	2.05	2.76	3.16	3.08	2.77	6.62	5.02	1.82	3.02	6.46	2.89	4.66
1931	3.04	2.05	2.88	4.67	2.94	2.49	5.54	4.27	2.86	2.68	3.72	2.48	9.94
1932	5.82	2.53	2.83	3.65	4.38	3.01	5.19	4.36	2.79	2.56	5.57	2.91	6.57
1933	4.79	3.2	2.86	2.47	4.8	3.38	3.25	5.96	2.55	2.81	5.66	2.66	6.98
1934	1.94	2.07	1.07	1.3	2.19	2.52	2.34	3.64	1.79	1.19	5.34	3.02	2.28
1935	3.16	2.93	1.88	2	4.15	2.69	3.52	3.91	2.49	2.96	5.07	2.31	4.66
1936	2.18	3.93	1.94	1.81	4.93	1.59	4.04	3.2	1.6	1.88	3.6	2.27	4.69
1937	2.68	3.44	2.64	2.4	2.99	1.91	3.98	3.08	2.2	2.01	4.34	2.54	6.37
1938	2.45	3.07	2.74	2.11	1.87	1.36	3.15	2.54	2.29	1.68	3.36	2.16	6.3
1939	3.13	3.03	3.09	1.98	3.13	1.88	4.32	3.34	2.14	2.06	4.7	2.18	5.2
1940	3.66	3.13	3.81	3.13	7.2	1.64	3.91	3.35	2.45	2.4	5.29	1.85	4.66
1941	3.69	2.92	3.84	3.69	4.95	1.73	4.49	4.24	2.34	2.39	5.84	2.65	4.35
1942	3.37	2.97	2.75	2.44	4.22	0.9	4.51	2.82	1.24	1.23	3.56	2.13	3.17
1943	1.97	2.52	2.01	1.94	2.1	1.26	2.86	3.34	1.77	1.51	5.34	2.23	3.67
