# Weber - VET - FASY - ITRDB CHE568
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41822
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41822.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che568-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che568.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che568.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - VET - FASY - ITRDB CHE568
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders,Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: VET
#   Location: Switzerland
#   Northernmost_Latitude: 46.25054
#   Southernmost_Latitude: 46.25054
#   Easternmost_Longitude: 7.25189
#   Westernmost_Longitude: 7.25189
#   Elevation_m: 1250
#--------------------
# Data_Collection
#   Collection_Name: CHE568
#   First_Year: 1812
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VET01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VET10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VET10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VET01a_raw	VET02a_raw	VET03a_raw	VET04a_raw	VET05a_raw	VET06a_raw	VET07a_raw	VET08b_raw	VET09a_raw	VET10b_raw
1812	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA
1813	NA	NA	NA	NA	NA	0.94	NA	NA	NA	NA
1814	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA
1815	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA
1816	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1817	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA
1818	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA
1819	NA	NA	NA	NA	NA	0.31	NA	NA	NA	NA
1820	NA	NA	NA	NA	NA	0.53	NA	NA	NA	NA
1821	NA	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1822	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA
1823	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA
1824	NA	NA	NA	NA	NA	0.45	NA	NA	NA	NA
1825	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	0.65	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA
1828	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	0.63	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	0.6	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	0.53	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	0.64	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	0.9	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA
1842	NA	NA	NA	NA	1.4	0.84	NA	NA	NA	NA
1843	NA	NA	NA	NA	0.32	0.7	NA	NA	NA	NA
1844	NA	NA	NA	NA	2.28	0.79	NA	NA	NA	NA
1845	NA	NA	NA	NA	5.08	1.65	NA	NA	NA	NA
1846	NA	NA	NA	NA	4.8	3.03	NA	NA	NA	NA
1847	NA	NA	NA	NA	3.1	2.74	NA	NA	NA	NA
1848	NA	NA	NA	NA	2.53	2.01	NA	NA	NA	NA
1849	NA	NA	NA	NA	2.38	1.14	NA	NA	NA	NA
1850	NA	NA	NA	NA	2.57	1.08	NA	NA	2.09	NA
1851	NA	NA	NA	NA	2.21	0.93	NA	NA	3.01	NA
1852	NA	NA	NA	NA	2.68	0.92	NA	NA	2.63	NA
1853	NA	NA	NA	NA	2.65	1.35	NA	NA	2.54	NA
1854	NA	NA	NA	NA	1.84	2.1	NA	NA	2.79	2.18
1855	NA	NA	NA	NA	1.9	1.55	NA	NA	1.88	2.16
1856	NA	NA	NA	NA	0.7	2.09	NA	NA	1.93	1.6
1857	0.85	NA	NA	NA	1.01	2.11	NA	NA	2.13	2.1
1858	0.49	NA	NA	NA	1.16	1.15	NA	NA	1.95	2.27
1859	0.87	NA	NA	NA	1.4	1.85	NA	NA	2.34	1.22
1860	1.05	NA	NA	NA	1.1	1.58	NA	NA	1.36	1.63
1861	0.86	NA	NA	NA	0.58	1.76	NA	NA	1.78	1.51
1862	0.66	NA	NA	NA	0.65	1.7	NA	NA	1.11	1.02
1863	1.11	NA	NA	NA	1.31	2.54	NA	NA	1.66	1.28
1864	1.27	NA	NA	NA	1.72	3.08	NA	NA	1.87	1.07
1865	0.74	NA	NA	NA	1.07	1.87	NA	NA	1.05	0.97
1866	1.24	NA	NA	NA	1.01	2.54	NA	NA	1.1	1.24
1867	1.01	NA	NA	NA	1.18	2.34	NA	NA	1.48	1.38
1868	1.2	NA	NA	NA	0.7	1.67	NA	NA	1.62	0.78
1869	1.77	NA	NA	NA	1.18	2.6	NA	NA	1.86	0.63
1870	1.18	NA	NA	NA	1.08	2.08	NA	NA	1.22	0.74
1871	1.24	NA	NA	NA	1.46	1.99	NA	NA	1.78	0.62
1872	1.35	NA	NA	NA	1.73	1.85	NA	NA	1.85	1.28
1873	1.51	NA	NA	NA	1.62	1.85	NA	NA	1.93	1.84
1874	1.32	NA	NA	NA	1.56	1.41	NA	NA	1.25	1.36
1875	1.73	NA	NA	NA	1.76	1.81	NA	NA	1.93	1.28
1876	1.76	NA	NA	NA	1.26	1.87	2.66	NA	1.6	0.95
1877	1.86	NA	NA	NA	1.91	1.04	3.3	NA	1.37	0.62
1878	2.81	NA	NA	NA	5.24	1.13	2.02	NA	1.46	0.57
1879	3.24	2.66	3.22	NA	6.44	1.48	1.91	NA	2.4	1.49
1880	2.62	1.79	4.06	NA	4.24	1.18	2.2	NA	1.36	1.82
1881	2.53	1.7	2.96	NA	2.78	1.71	2.12	NA	1.65	1.12
1882	3	1.85	2.36	NA	2.69	1.34	2.82	NA	1.46	1.12
1883	2.89	1.82	2.22	1.3	2.55	1.87	2.04	1.58	1.82	1.71
1884	1.41	1.79	1.94	1.1	2.66	2.19	2.02	1.44	1.6	1.98
1885	1.69	1.37	1.42	1.5	1.83	2.18	2.46	1.34	1.26	1.44
1886	1.55	1.42	0.71	1.14	1.54	1.88	1.35	1.3	0.98	1.06
1887	1.25	0.34	0.66	2.1	1.89	1.92	1.32	1.21	1.41	1.08
1888	1.04	0.46	0.58	0.9	1.07	1.09	1.18	0.78	0.69	1.06
1889	1.17	0.66	0.56	0.86	1.45	1.18	0.76	1.34	1.05	0.7
