# Lévesque - Pfafers - LADE - ITRDB CHE536
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41790
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41790.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che536-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che536.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che536.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Pfafers - LADE - ITRDB CHE536
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Pfafers
#   Location: Switzerland
#   Northernmost_Latitude: 46.97472222
#   Southernmost_Latitude: 46.97472222
#   Easternmost_Longitude: 9.49211
#   Westernmost_Longitude: 9.49211
#   Elevation_m: 980
#--------------------
# Data_Collection
#   Collection_Name: CHE536
#   First_Year: 1878
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PL01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PL15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PL15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PL01_raw	PL02_raw	PL03_raw	PL04_raw	PL05_raw	PL06_raw	PL07_raw	PL09_raw	PL10_raw	PL11_raw	PL12_raw	PL13_raw	PL14_raw	PL15_raw
1878	NA	NA	1.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1879	NA	NA	8.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	3.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	3.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1882	NA	NA	4.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1883	NA	NA	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1884	NA	NA	3.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1885	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1886	NA	NA	2.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1887	NA	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	NA	NA	1.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1889	NA	NA	2.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	NA	NA	2.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1892	NA	NA	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1893	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	NA	NA	1.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1895	NA	NA	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1896	NA	NA	1.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1897	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1898	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1899	NA	NA	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1900	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1904	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1905	NA	NA	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	2.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	2.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	2.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	2.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	2.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	1.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	2.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1926	NA	NA	2.36	NA	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA
1927	NA	NA	4.14	NA	NA	NA	NA	NA	0.87	NA	NA	NA	NA	NA
1928	NA	NA	2.84	NA	NA	NA	NA	NA	2.6	NA	4.29	NA	NA	4.36
1929	NA	NA	3.23	NA	NA	NA	NA	NA	5.43	NA	4.05	NA	NA	4.39
1930	NA	NA	3.06	NA	NA	NA	NA	NA	6	NA	5.96	NA	NA	4.5
1931	NA	NA	3.74	NA	NA	NA	NA	NA	8.12	NA	7.71	NA	NA	4.56
1932	NA	16.88	4.55	NA	3.13	NA	NA	NA	6.18	NA	7.29	NA	0.92	3.87
1933	NA	6.84	3.3	NA	3.69	4.64	NA	NA	6.39	NA	7.34	NA	4.54	5.27
1934	NA	6.74	4.47	NA	4.58	4.86	NA	NA	6.7	NA	7.33	NA	3.6	3.44
1935	NA	6.47	4.35	NA	4.91	3.19	NA	NA	5.43	NA	7.68	NA	3.35	3.07
1936	NA	5.86	2.95	NA	5.23	3.68	4.76	NA	4.23	NA	7.33	NA	3.55	2.76
1937	2.42	4.02	2.1	NA	3.93	3.3	5.87	NA	5.19	4.51	7.92	NA	2.26	2.01
1938	3.5	4.9	2.69	NA	3.64	3.06	5.21	4.56	3.99	6.66	5.77	NA	3.08	2.41
1939	3.95	3.78	2.2	NA	5.28	4.04	6.25	5.07	4.48	7.04	5.89	NA	2.86	2.75
1940	4.1	4.96	2.56	6.57	5.43	3.8	5.66	5.33	4.6	6.62	5.97	NA	3.68	3.25
