# Weber - OEF - PCAB - ITRDB CHE518
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41772
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41772.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che518-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che518.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che518.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - OEF - PCAB - ITRDB CHE518
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders, Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: OEF
#   Location: Switzerland
#   Northernmost_Latitude: 47.35397
#   Southernmost_Latitude: 47.35397
#   Easternmost_Longitude: 8.02268
#   Westernmost_Longitude: 8.02268
#   Elevation_m: 455
#--------------------
# Data_Collection
#   Collection_Name: CHE518
#   First_Year: 1908
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OEF01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OEF10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OEF10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OEF01a_raw	OEF02a_raw	OEF03a_raw	OEF04b_raw	OEF05a_raw	OEF06a_raw	OEF07a_raw	OEF08a_raw	OEF09a_raw	OEF10a_raw
1908	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA
1909	NA	NA	NA	NA	NA	NA	NA	3.86	NA	NA
1910	NA	NA	NA	4.77	NA	NA	NA	4.05	NA	NA
1911	NA	NA	NA	3	3.17	NA	NA	3.88	NA	NA
1912	4.04	NA	2.64	3.8	3.62	NA	NA	6.57	NA	NA
1913	3.75	NA	1.96	5.3	2.8	NA	3.85	5.02	NA	3.23
1914	2.99	2.68	2.67	6.14	2.64	NA	4.84	5.87	NA	3.12
1915	3.01	3.26	1.97	4.85	2.77	NA	4.39	4.79	NA	3.15
1916	2.82	3.11	2.85	4.91	2.56	NA	4.14	4.93	NA	3.17
1917	3.62	2.43	3.24	3.3	2.76	NA	3.93	4.15	NA	3.55
1918	3.55	2.38	3.51	3.01	3.11	NA	3.05	4.36	NA	3.34
1919	2.86	1.84	2.58	2.28	1.71	NA	2.22	3.1	NA	2.2
1920	3.32	3.28	4.13	2.49	1.87	NA	2.76	4.53	NA	2.75
1921	2.55	4.07	3.82	3.43	1.72	NA	2.06	4.63	NA	2.09
1922	3.2	4.46	5.07	3.04	2.31	2.99	2.06	4.45	NA	2.98
1923	3.2	3.08	3.91	4.72	1.96	2.85	2.79	3.77	NA	2.62
1924	3.06	2.68	4.39	4.22	1.52	2.86	2.35	3.48	NA	2.26
1925	2.37	4.27	4.87	5.35	1.16	2.68	2.56	3.39	4.04	2.27
1926	3.37	3.46	4.35	6.28	1.94	3.32	3.64	3.57	5.06	2.63
1927	2.65	2.73	3.96	4.48	1.62	3.06	2.44	2.99	4.66	1.94
1928	2.23	3.23	3.38	5.35	1.37	2.67	2.77	2.34	3.68	2.63
1929	2.18	2.64	2.14	4.05	1.42	2.97	2.2	1.88	3.19	3.49
1930	2.12	3.04	3.92	5.55	1.69	4.08	2.79	2.73	5.4	3.21
1931	2.63	3.32	3.65	5.17	1.69	4.18	2.11	2.96	6.89	3.23
1932	2.93	2.91	3.94	5.59	1.87	4.07	2.94	3.86	5.22	3.46
1933	2.36	2.74	2.63	5.58	1.88	3.6	2.29	3.26	5.03	3.24
1934	1.73	2.2	2.21	3.96	1.81	3.3	1.67	2.24	2.72	2.98
1935	1.55	2.45	3.03	3.72	1.35	2.76	1.6	1.78	2.69	2.16
1936	1.83	2.32	3.77	3.75	1.59	2.88	1.88	3.1	3.39	3.46
1937	1.33	2.1	2.18	3.65	1.21	1.92	1.3	2.71	2.71	2.69
1938	1.58	2.28	2.64	3.5	1.55	2.49	2.06	2.5	2.51	3.14
1939	2.25	2.61	3.84	4.54	1.84	2.98	2.31	3.15	2.6	2.88
1940	2.05	2.48	3.83	4.27	2.13	2.85	2.36	4.08	3.14	3.1
1941	1.6	1.8	2.43	5.25	1.56	1.89	2.31	2.99	2.75	2.66
1942	1.15	0.98	1.64	4.91	1.52	2.48	2.08	2.65	2.03	2.55
1943	1.86	1.68	1.99	5	1.56	2.71	1.89	2.75	2.81	3.2
1944	1.44	1.69	2.46	3.31	1.31	2.37	1.47	2	2.31	3.03
1945	1.12	1.86	1.91	5.52	1.04	1.84	1.19	1.9	2.25	2.93
1946	0.86	2.65	1.93	3.6	1.03	2.82	1.54	1.75	2.93	2.94
1947	0.73	1.84	1.21	2.74	0.72	1.52	1.28	1.55	2.69	2.57
1948	0.82	2.11	1.96	3.06	1.07	1.75	1.63	1.9	2.33	3.14
1949	0.84	1.22	0.92	2.84	0.82	1.36	1.39	1.27	1.31	2.38
1950	0.86	0.95	1.08	3.3	1.01	1.6	1.41	1.08	1.39	2.88
1951	0.57	1.01	1.52	3.93	1.16	2.01	1.77	0.76	0.74	2.27
1952	1	1.13	1.52	4	1.09	1.99	1.76	1.15	1.49	3.58
1953	1.21	1.11	1.6	3.67	1.22	2.17	2.33	1.65	2.33	4.26
1954	1.19	1.86	1.83	4.01	1.51	2.69	2.94	1.73	2.63	3.92
1955	2.12	2.12	2.52	5.51	1.7	3	3.44	3.12	2.42	3.86
1956	1.65	1.73	2.05	5.1	1.86	2.76	3.98	3.56	2.45	3.56
1957	1.74	1.44	1.64	6.48	1.91	3.07	2.94	3.39	3.07	3.06
1958	1.51	2.36	1.18	5.62	2.08	2.84	2.61	1.56	2.48	3.4
1959	1.33	2.55	1.51	5.39	1.41	2.12	3.31	2.42	2.85	2.33
1960	1.26	2.53	2.13	3.2	1.45	2.96	2.76	2.49	2.38	2.15
1961	1.69	2.46	1.68	3.27	1.96	2.65	2.98	1.56	1.82	2.22
1962	1.06	1.33	0.92	1.89	1.12	1.58	2.07	0.98	1.21	1.31
1963	1.09	1.64	1.41	2.13	1.25	2.32	2.49	2.11	2	1.74
1964	1.54	2.01	1.55	2.12	1.66	3.24	1.97	2.98	1.84	1.91
1965	1.57	1.74	1.66	2.25	1.35	3.4	2.27	2.64	1.72	1.82
1966	2.54	1.63	1.83	3.31	1.45	3.13	1.97	1.94	2.71	2.03
1967	1.06	1.09	1.11	4.15	1.09	1.91	1.02	0.94	1.65	1.71
1968	1.16	1.57	1.28	2.28	1.49	2.36	0.6	0.81	2.36	1.82
1969	1.7	2.23	1.5	2.05	1.86	2.29	1.86	1.25	2.76	1.8
1970	1.1	1.44	1.26	1.87	1.3	1.97	1.4	1.08	1.98	1.76
1971	0.98	1.92	1.84	3.73	1.71	2.64	1.95	0.99	1.93	1.4
1972	1.22	3.13	1.8	4.93	1.49	3.23	2.43	1.58	2.27	1.93
1973	0.79	2.87	1.44	4	1.11	2.01	1.6	1.28	1.74	1.76
1974	0.59	3.62	1.78	6.68	1.34	2.07	1.71	0.9	0.77	1.5
1975	1.35	3.68	1.93	6.52	1.37	2.91	2.23	0.99	1.43	1.68
1976	1.34	1.58	1.51	5.36	1.19	2.87	1.57	1.19	1.34	3.06
