# Lévesque - Neuhaus - LADE - ITRDB CHE535
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41789
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41789.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che535-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che535.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che535.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Neuhaus - LADE - ITRDB CHE535
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Neuhaus
#   Location: Switzerland
#   Northernmost_Latitude: 46.68277778
#   Southernmost_Latitude: 46.68277778
#   Easternmost_Longitude: 7.808888889
#   Westernmost_Longitude: 7.808888889
#   Elevation_m: 620
#--------------------
# Data_Collection
#   Collection_Name: CHE535
#   First_Year: 1865
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NL01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NL13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NL13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NL01_raw	NL02_raw	NL03_raw	NL04_raw	NL05_raw	NL06_raw	NL07_raw	NL08_raw	NL09_raw	NL10_raw	NL13_raw
1865	3.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1866	3.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	4.15	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA
1868	4.74	NA	NA	NA	1.91	NA	NA	NA	NA	NA	NA
1869	5.03	NA	NA	NA	1.65	NA	NA	NA	NA	NA	NA
1870	4.34	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA
1871	4.5	NA	NA	NA	2.42	NA	NA	NA	NA	NA	NA
1872	6.04	NA	NA	NA	3.32	9.27	7.21	NA	NA	NA	NA
1873	5.37	NA	NA	NA	2.64	9.86	8.57	2.02	NA	NA	NA
1874	6.7	NA	NA	2.85	3.62	9.32	8.54	2.76	NA	NA	2.77
1875	4.07	NA	NA	2.76	2.39	5.44	4.9	3.19	NA	NA	3.24
1876	3.09	NA	NA	2.9	1.66	3.8	3.88	2.79	NA	NA	2.55
1877	3.83	NA	NA	2.42	1.69	5.94	9.5	4.06	3.39	NA	3.21
1878	5.24	NA	NA	3.52	2.59	7.63	10.83	5.29	4.71	NA	3.58
1879	4.67	NA	NA	3.73	2.59	6.49	8.9	5.01	4.19	NA	2.01
1880	4.79	NA	NA	3.48	2.4	6.01	7.63	4.27	3.81	NA	2.48
1881	4.33	2.54	NA	3.65	3.17	5.58	7.08	4.25	4.45	NA	4.06
1882	3.36	2.41	NA	3.39	2.14	4.43	6.64	3.84	3.31	NA	4.02
1883	4.49	2.12	2.29	3.58	2.59	5.31	6.82	4.79	2.44	NA	3.78
1884	3	1.67	1.57	2.48	2.04	4.43	5.76	4.42	2.49	NA	3.4
1885	2.22	1.82	1.49	2.38	1.71	3.22	4.51	3.47	2.19	NA	3.21
1886	1.61	1.76	1.85	2.6	1.55	2.37	2.02	2.81	2	NA	2.71
1887	1.38	1.63	1.12	2.03	1.06	2.27	2.84	2.83	1.69	NA	1.83
1888	1.71	1.92	1.38	2.69	1.61	2.78	1.76	2.42	1.87	NA	1.99
1889	1.92	1.9	1.71	2.85	2.18	3.22	3.71	3.81	1.44	NA	2.52
1890	2.87	2.15	1.71	2.5	2.41	3.17	4.05	3.52	1.95	1.93	2.51
1891	3.26	2.3	2.06	3.75	2.41	4.09	4.51	3.6	1.79	2.31	2.34
1892	4.05	2.45	2.77	3.46	2.62	4.19	4.13	3.88	1.64	2.29	2.51
1893	4.49	1.78	3.23	2.48	2.49	3.33	3.02	3.42	1.42	1.83	1.79
1894	4.28	2.39	3.33	3.42	1.74	3.8	2.31	3.38	1.3	1.87	2.02
1895	3.32	1.76	3.08	3.02	1.26	2.91	3.16	2.77	1.45	2.57	1.9
1896	1.34	2.01	2.6	2.17	0.63	2.86	1.43	2.6	1.18	1.91	1.75
1897	1.02	1.38	2.3	2.23	0.64	3.34	2.69	3.26	1.24	2.23	1.66
1898	0.98	1.63	2.56	2.37	0.76	2.58	1.07	3.29	0.73	2.27	1.76
1899	1.14	1.58	2.21	2.15	0.85	2.96	1.83	2.77	0.78	1.92	1.45
1900	1.22	1.67	2	2.34	0.82	2.87	1.25	3.04	0.8	2.01	1.45
1901	2.01	1.85	2.64	2.87	1.19	2.36	1.89	2.85	0.91	1.99	1.39
1902	1.62	2.18	3.01	2.46	1.65	2.49	2.46	2.97	0.93	2.72	1.53
1903	1.7	2.47	2.9	2.55	1.9	3.05	2.95	3.22	1.19	2.92	1.45
1904	2.44	2.01	2.65	2.84	2.02	2.84	3.07	2.91	1.18	3.29	1.4
1905	2.39	1.71	2.88	2.5	1.45	3	2.21	2.75	0.9	3.67	1.49
1906	2.69	2.23	2.91	2.51	1.65	3.37	2.36	2.42	1.07	2.67	1.72
1907	1.57	1.7	2.47	2.11	0.96	2.7	2.04	2.05	1.01	2.33	1.4
1908	1.15	1.48	2.41	1.75	0.86	2.06	1.45	2.06	0.71	1.75	0.77
1909	0.75	1.82	2.77	1.17	0.86	1.17	0.63	2.12	0.72	1.78	0.81
1910	1.72	2.51	3.44	1.61	1.47	1.62	1.46	2.15	0.82	2.5	1.24
1911	1.52	2.71	3.64	1.97	2.17	2.02	1.54	2.07	1.15	3.13	1.56
1912	1.78	2.69	3.29	1.98	1.14	2.81	1.49	2.09	1.22	3.25	1.44
1913	1.58	0.8	2.84	2.11	0.94	2.7	1.71	1.96	1.02	1.93	1.11
1914	2.04	1.51	2.67	2.38	1.42	2.72	1.89	1.47	1.07	2.04	1.71
1915	1.96	1.49	3.22	2.74	1.71	3.14	2.57	1.84	1.24	2.44	2.01
1916	1.66	2.01	3.68	2.62	1.98	2.75	2.35	1.85	1.18	2.9	2.28
1917	1.64	1.78	3.24	2.22	1.87	2.47	2.04	1.9	1.51	2.98	2.04
1918	0.9	1.66	2.6	1.45	1.44	1.55	0.98	1.33	0.99	2.07	1.34
1919	1.41	2.25	2.79	2.01	1.77	1.82	1.82	1.55	1.35	2.45	1.59
1920	0.98	1.82	2.99	1.52	1.18	1.39	1.28	1.62	1.1	2.66	1.37
1921	0.41	1.74	2.14	1.18	0.71	1.41	1.27	1.69	0.76	2.09	1.08
1922	0.72	1.3	2.7	1.54	0.81	1.32	0.92	1.83	0.98	1.69	0.76
1923	0.57	2.03	3.66	1.68	1.02	1.79	1.4	2.03	1.24	2.33	1.06
1924	0.73	1.74	2.06	0.91	0.88	1.35	0.82	1.48	0.66	1.49	0.77
1925	1.08	1.9	2.42	1.14	1.41	1.4	1.09	1.52	1.12	2.45	0.88
