# Weber - EPT - PCAB - ITRDB CHE519
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41773
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41773.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che519-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che519.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che519.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - EPT - PCAB - ITRDB CHE519
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders, Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: EPT
#   Location: Switzerland
#   Northernmost_Latitude: 47.64541
#   Southernmost_Latitude: 47.64541
#   Easternmost_Longitude: 9.09039
#   Westernmost_Longitude: 9.09039
#   Elevation_m: 550
#--------------------
# Data_Collection
#   Collection_Name: CHE519
#   First_Year: 1864
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EPT01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EPT10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EPT10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	EPT01a_raw	EPT02a_raw	EPT03a_raw	EPT04a_raw	EPT05a_raw	EPT06a_raw	EPT07a_raw	EPT08a_raw	EPT09a_raw	EPT10a_raw
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.12
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.32
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.65
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.29
1870	NA	4.35	NA	NA	NA	NA	NA	NA	NA	2.24
1871	NA	4.7	NA	NA	NA	NA	NA	NA	NA	2.81
1872	NA	5.77	NA	NA	NA	NA	NA	NA	2.44	2.04
1873	NA	6.36	NA	NA	NA	NA	NA	NA	3.14	2.72
1874	NA	6.53	NA	NA	NA	NA	NA	NA	3.9	2.95
1875	NA	6.45	NA	NA	NA	NA	3.14	NA	2.98	3.41
1876	NA	5.12	NA	6.99	NA	NA	3.36	NA	2.66	2.16
1877	NA	5.39	NA	4.34	NA	NA	4.76	NA	2.73	2.24
1878	NA	6.18	NA	5.05	NA	NA	3.18	NA	3.11	2.17
1879	NA	4.76	4.58	4.77	NA	NA	3.56	NA	2.74	2.06
1880	NA	5.27	6.26	4.09	NA	NA	2.74	NA	2.17	2.55
1881	NA	3.8	5.63	4.21	NA	NA	3.31	NA	2.29	2.02
1882	NA	3.75	6.79	4.22	NA	3.21	3.26	NA	2.81	2.02
1883	NA	3.16	7.29	4.06	NA	3.67	3.4	NA	2.52	2.57
1884	NA	3.29	6.79	4.1	NA	4.12	3.23	NA	2.26	2.98
1885	NA	2.54	4.86	3.39	3.12	3.6	3.55	NA	1.85	1.89
1886	NA	1.81	4.03	4.26	3.17	2.56	2.49	NA	1.73	2
1887	NA	1.87	3.7	4.37	2.74	2.68	0.97	NA	1.38	1.34
1888	NA	1.56	4.27	4.22	2.9	3.91	1.33	NA	1.93	1.86
1889	NA	2.19	4.56	4.5	2.55	4.11	1.43	NA	1.98	2.45
1890	NA	1.33	5.52	4.67	2.55	4.82	1.26	NA	2.82	2.64
1891	NA	1.92	5.23	4.66	2.75	4.58	0.98	NA	2.86	2.66
1892	NA	1.89	5.07	4.07	2.93	3.74	0.52	1.2	2.48	1.61
1893	NA	1.46	3.42	3.68	3.03	2	0.85	0.97	1.8	1.11
1894	NA	1.56	3.13	3.72	3.67	3.53	1.04	1.18	2.61	1.17
1895	NA	1.78	3.84	3.92	3.49	4.77	1	1.14	2.92	1.18
1896	NA	1.39	3.23	2.93	2.25	3.34	0.83	0.52	2.8	0.76
1897	NA	1.9	3.7	3.48	2.67	3.38	0.85	0.61	2.27	0.79
1898	NA	1.32	3.18	2.42	2.11	3	0.8	0.86	1.79	0.67
1899	2.68	1.85	3.65	2.88	2.61	1.76	0.83	0.79	1.88	0.59
1900	2.45	1.48	3.37	2.8	2.18	1.28	0.8	0.65	1.3	0.51
1901	3.13	2.01	4.54	3.22	2.68	1.6	1.02	0.62	1.7	0.54
1902	2.75	2.29	3.81	3.39	2.57	1.62	1.13	0.71	1.8	0.48
1903	4.08	2.23	3.33	2.55	1.66	1.71	1.55	0.84	1.62	0.78
1904	2.94	2.12	3.27	3.31	1.54	1.82	1.29	0.93	1.68	0.6
1905	3.2	1.76	2.45	3.05	1.2	2.39	1.31	0.96	1.57	0.47
1906	3.06	2.39	2.5	2.84	1.55	1.8	1.79	0.82	1.44	0.33
1907	2.9	2.25	2.95	2.85	1.55	1.64	1.63	0.87	1.21	0.38
1908	2.57	2.5	3.12	2.45	1.68	1.58	1.72	0.61	1.05	0.34
1909	3.19	2.62	3.22	2.8	1.78	1.93	1.99	0.68	1.4	0.48
1910	3.48	3.58	4.92	2.84	3.47	3.07	1.68	0.75	1.26	0.41
1911	2.73	2.69	3.01	2.27	2.89	2.11	1.09	0.78	0.81	0.55
1912	3.21	2.58	2.14	1.07	2.94	1.26	0.49	0.72	0.72	0.41
1913	4.02	3.27	2.72	1.78	3.54	1.14	0.77	0.7	0.86	0.56
1914	3.77	3	2.76	2.19	3.39	1.89	0.9	1.04	1.62	0.56
1915	3.21	3.01	3.42	2.25	3.26	1.44	1.24	1.01	1.69	0.67
1916	3.75	3.12	2.75	2.48	3.19	2.22	2.22	1.23	1.81	0.69
1917	3.14	2.61	2.33	2.45	2.54	1.89	2.27	1.04	1.74	0.75
1918	3.46	2.77	2.55	2.03	2.22	2.93	2.36	1	2.15	0.85
1919	3.97	2.43	2.46	2.13	1.69	2.35	2.02	0.85	1.86	0.71
1920	3.1	1.83	1.94	1.46	1.32	1.83	1.64	0.77	2.11	0.69
1921	3.45	1.91	1.34	1.63	1.67	1.76	1.65	0.89	1.98	0.98
1922	2.02	1.51	1.2	0.94	1.53	1.28	1.14	0.63	1.66	0.44
1923	3.13	2.04	1.63	1.39	2.2	1.17	1.23	0.89	1.26	0.38
1924	2.56	1.81	2.13	1.49	2.45	1.87	1.41	0.75	0.88	0.63
1925	2.93	2.49	2.52	1.75	3.84	2.86	1.36	0.86	0.98	0.54
1926	2.81	2.33	2.17	1.92	3.36	2.76	1.19	0.93	0.63	0.58
1927	4.28	2.75	2.86	2.46	2.87	3.55	1.22	1.07	0.73	1.04
1928	4.54	2.55	2.13	1.93	1.51	2.25	0.96	0.91	0.69	0.94
1929	3.67	1.2	0.83	0.75	0.73	1.34	0.48	0.8	0.14	0.57
1930	5.31	2.1	1.04	1.21	1.48	2.51	0.65	1.34	0.34	0.63
1931	5.2	2.97	1.34	1.47	1.76	3.87	1.22	1.4	0.35	0.99
1932	5.02	2.68	1.57	1.14	1.59	2.42	1.58	1.52	0.26	0.95
1933	4.51	2.35	1.98	1.21	1.34	1.97	1.2	1.62	0.3	0.96
1934	3.54	2.48	1.72	1.22	1.23	1.9	2.35	1.62	0.35	0.97
