# Maxwell - Geode State Park Update - QUAL - ITRDB IA043
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44565
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44565.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia043l-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia043l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Maxwell - Geode State Park Update - QUAL - ITRDB IA043
#--------------------
# Investigators
#   Investigators: Maxwell, J.T.; Dannenberg, M.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia004
#--------------------
# Publication
#   Authors: Maxwell, Justin T.; Tsun Fung Au; Steven A. Kannenberg; Grant L. Harley; Matthew P. Dannenberg; Darren L. Ficklin; Scott M. Robeson; Macarena Férriz; Michael C. Benson; Benjamin R. Lockwood; Kimberly A. Novick; Richard P. Phillips; Maegen L. Rochner; Neil Pederson
#   Published_Date_or_Year: 2024
#   Published_Title: Asymmetric effects of hydroclimate extremes on eastern <scp>US</scp> tree growth: Implications on current demographic shifts and climate variability
#   Journal_Name: Global Change Biology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.17474
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: USDA National Institute of Food and Agriculture
#   Grant: 2017-67013-26191
#--------------------
# Site_Information
#   Site_Name: Geode State Park
#   Location: Iowa
#   Northernmost_Latitude: 40.8333333333333
#   Southernmost_Latitude: 40.8333333333333
#   Easternmost_Longitude: -91.3666666666667
#   Westernmost_Longitude: -91.3666666666667
#   Elevation_m: 205
#--------------------
# Data_Collection
#   Collection_Name: IA043
#   First_Year: 1846
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GLA02A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA02B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA03A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA03B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA04A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA04B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA05A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA05B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA06A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA06B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA07A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA07B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA08A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA08B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA09A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA09B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA10A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLA10B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: GLA10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GLA02A_raw	GLA02B_raw	GLA03A_raw	GLA03B_raw	GLA04A_raw	GLA04B_raw	GLA05A_raw	GLA05B_raw	GLA06A_raw	GLA06B_raw	GLA07A_raw	GLA07B_raw	GLA08A_raw	GLA08B_raw	GLA09A_raw	GLA09B_raw	GLA10A_raw	GLA10B_raw
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.683	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.519	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.926	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.201	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.228	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.224	NA	NA	1.322
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342	0.393	NA	NA	1.306
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.595	0.604	NA	NA	0.286
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.506	0.39	NA	NA	0.392
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.662	0.538	NA	NA	0.399
1856	NA	NA	NA	NA	NA	0.551	NA	NA	NA	NA	NA	NA	NA	0.419	0.46	NA	NA	0.547
1857	NA	NA	NA	NA	NA	0.564	NA	NA	NA	NA	NA	NA	NA	0.297	0.373	NA	NA	0.374
1858	NA	NA	NA	NA	NA	0.634	NA	NA	NA	NA	NA	NA	NA	0.426	0.615	NA	NA	0.286
1859	NA	NA	NA	NA	NA	0.439	NA	NA	NA	NA	NA	NA	NA	0.617	0.983	NA	NA	0.511
1860	NA	NA	NA	NA	NA	0.536	NA	NA	NA	NA	NA	NA	NA	0.292	0.735	NA	NA	0.468
1861	NA	NA	NA	NA	NA	0.427	NA	NA	NA	NA	NA	NA	NA	0.113	0.488	NA	NA	0.627
1862	NA	NA	NA	NA	NA	0.604	0.578	NA	NA	NA	NA	NA	NA	0.57	0.587	NA	NA	0.371
1863	NA	NA	NA	NA	NA	0.541	0.407	NA	NA	NA	NA	NA	0.349	0.501	0.406	0.888	NA	0.316
1864	NA	NA	NA	NA	NA	0.7	0.061	NA	NA	NA	NA	NA	0.21	0.627	0.36	0.624	NA	0.3
1865	NA	NA	NA	NA	NA	0.538	0.229	NA	NA	NA	NA	NA	0.258	0.466	0.401	0.886	NA	0.46
1866	NA	NA	NA	NA	NA	0.467	0.19	NA	NA	NA	NA	NA	0.168	0.343	0.477	0.705	NA	0.218
1867	NA	NA	NA	NA	NA	0.307	0.302	NA	NA	NA	NA	NA	0.129	0.273	0.665	0.532	NA	0.382
1868	NA	NA	NA	NA	NA	0.335	0.154	NA	NA	NA	NA	NA	0.157	0.142	0.329	1.182	NA	0.277
1869	NA	NA	NA	NA	NA	0.978	0.252	NA	NA	NA	NA	NA	0.133	0.194	0.837	0.317	NA	0.164
1870	NA	NA	NA	NA	NA	0.261	0.141	NA	NA	NA	NA	NA	0.333	0.227	0.137	0.38	NA	0.242
1871	NA	NA	NA	NA	NA	0.409	0.377	NA	NA	NA	NA	NA	0.392	0.127	0.508	0.391	NA	0.042
1872	NA	NA	NA	NA	NA	0.487	0.298	NA	NA	NA	NA	NA	0.47	0.129	1.116	0.262	NA	0.223
1873	NA	NA	NA	NA	NA	0.291	0.177	NA	NA	NA	NA	NA	0.562	0.154	0.547	0.345	NA	0.206
1874	NA	NA	NA	NA	NA	0.155	0.263	NA	NA	NA	NA	NA	1.103	0.173	0.601	0.858	NA	0.275
1875	NA	NA	NA	NA	NA	0.401	1.011	NA	NA	NA	NA	NA	1.358	1.212	1.248	0.817	NA	1.031
1876	NA	NA	NA	NA	NA	0.489	0.993	NA	NA	NA	NA	NA	1.421	2.045	1.518	1.062	2.651	0.965
1877	NA	NA	NA	NA	NA	0.562	1.24	1.37	NA	NA	NA	NA	1.272	1.567	1.47	1.685	2.299	0.964
1878	NA	NA	NA	NA	NA	0.915	1.444	1.339	NA	NA	NA	NA	0.732	1.739	1.314	0.691	2.074	0.912
1879	NA	NA	NA	NA	NA	1.105	1.487	0.969	NA	NA	NA	NA	0.654	1	0.828	0.677	1.59	1.152
1880	NA	NA	NA	NA	NA	1.217	1.089	0.561	NA	NA	NA	NA	1.24	0.749	0.916	1.075	1.159	0.596
1881	NA	NA	NA	NA	NA	1.453	1.968	1.023	NA	NA	NA	NA	1.831	1.096	1.619	1.003	2.133	0.714
1882	NA	NA	NA	NA	NA	1.464	1.517	0.598	NA	NA	NA	NA	1.668	1.377	1.081	0.944	2.259	0.998
1883	NA	NA	NA	NA	NA	0.772	1.322	0.62	NA	NA	NA	NA	0	1.164	0.734	1.098	2.285	1.089
1884	NA	NA	NA	1.203	1.491	1.379	0.855	0.559	NA	NA	NA	NA	1.256	1.205	0.687	0	1.756	1.151
1885	NA	NA	NA	1.24	0.962	1.176	1.143	0.8	0.863	NA	NA	NA	1.022	1.176	0.808	1.152	2.33	1.189
1886	NA	NA	NA	0.506	0.568	0.555	0.58	0.335	0.358	NA	NA	NA	0.387	0.46	0.39	0.552	0.752	0.415
1887	NA	NA	NA	0.685	0.415	0.489	0.643	0.44	0.32	NA	NA	NA	0.678	0.411	0.206	0.521	0.749	0.33
1888	NA	NA	NA	1.628	0.629	0.681	0.736	0.642	0.482	NA	NA	NA	0.733	0.914	0.729	0.67	1.734	0.782
1889	NA	NA	NA	0.812	1.197	1.428	1.349	0.599	0.648	NA	NA	NA	2.151	1.316	1.153	1.189	2.808	1.804
1890	NA	NA	NA	1.242	0.745	0.803	0.743	0.363	0.357	NA	NA	NA	0.866	0.739	0.526	0.558	1.336	1.044
1891	NA	NA	NA	0.817	0.834	0.608	0.398	0.388	0.529	NA	NA	NA	1.285	0.748	0.573	0.476	0.09	0.16
1892	NA	NA	NA	0.94	0.592	0.567	0.814	0.77	0.601	NA	NA	NA	1.088	1.279	0.648	0.485	0.051	0.173
1893	NA	NA	NA	0.565	1.153	0.527	0.346	0.459	0.297	NA	NA	0.139	0.591	0.702	0.288	0.499	0.152	0.081
1894	NA	NA	NA	0.36	0.531	0.355	0.254	0.449	0.315	NA	NA	0.232	0.438	0.296	0.252	0.289	0.062	0.111
1895	NA	NA	NA	0.631	0.382	0.321	0.256	0.283	0.435	NA	NA	0.636	0.564	0.472	0.062	0.29	0.048	0.114
1896	NA	NA	NA	1.08	1.265	0.964	0.779	0.821	0.652	0.515	NA	0.533	1.671	1.753	0.682	0.704	0.057	0.186
1897	NA	NA	NA	1.416	0.971	1.364	1.211	1.119	1.138	0.972	NA	0.563	1.848	2.03	1.112	0.769	0.511	0.212
1898	NA	NA	NA	1.045	0	0.831	1.049	0.822	0.998	0.535	NA	0.338	1.749	1.58	0.785	0.614	0.919	0.294
1899	NA	NA	NA	0.742	0.934	0.714	0.997	0.738	0.575	0.314	NA	0.404	1.693	0.957	0.587	0.599	1.465	0.666
